No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Sum of Costs (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,501F,Rookwood Estate,1. Renovation of natural drains - Rookwood Oya,4,Off,7.084579,80.76112,3 km,Clearing and planting some trees along the banks and adapting other conservation practices,,"300,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
,,,2. Soil conservation practices - Rookwood Estate (45°),4,On,7.084622,80.761246,20 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000.00","5,300,000.00",Labour and other basic services by the estate,0.5 Years
