Tank name,Ownership,N,E,Remarks
Rookwood Bangalawa wewa,JEDB,7.090118,80.764384,Recommended to desilt the tank and improve reservation and agroforestry
Rookwood Akkara 50 wewa,JEDB,7.090096,80.760953,Recommended to desilt the tank and improve reservation and agroforestry
