Activity,Location,Number and Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programs,"Idampitiya, Marthuwela",2,"20,000","40,000",2024 and 2025
Establish forest protection action groups (With fire protection items),"Idampitiya, Okandagala",2,"25,000","50,000",2025
Maintain forest boundaries,Piduruthalagala conservation forest,1.9 Km / 75 Boundary posts,195/boundary posts,"29,250",2025 and 2028
Erect display boards,"Idampitiya, Marthuwela ",4 Boards,"20,000","80,000",2025
Distribute energy efficient stows,"Idampitiya, Marthuwela",100 units,500,"50,000",2025
Improvement of home gardens,"Idampitiya, Marthuwela",50 home gardens,2000,"100,000",2026 - 2030
Total,,,,"349,250",
