GND No.,Scheme,Problem to be addressed / Recommendation,N,E,Estimated Cost (LKR)
51FG,Rookwood Oya,"Soil erosion of land on both sides(3km). Recommendation.
1. Construct (3mx2mx1m) seven SABO- boulder dams across the stream where canal is steep. (Rs 630,000)
2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.3. Apply mulching, organic manure and NPK fertilizer. (Rs 4,005,000)
5. Introduce grafted and VP fruit varieties of about 300 seedlings. (Rs 90,000)
Total Covered area 7500 m2.",7.08458,80.76112,"4,725,000"
Total cost,,,"  LKR 4,725,000",,
