"Table 5.18: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  Rs"
"701","Dalukgaha anga Canal","7.296721","80.720325","The first section of the canal is 450mm wide and 450mm high rectangular concrete lining has been constructed. Pipe culvert should be constructed at end of concrete lining, From there, there is a 800m long earthen canal. Command area 10.0 acres,","Construction of 0.30m Dia x 3.66m long culvertSupplying of 300mm Dia x 2.44m long Hume PipesLoading and Unloading 300mm diameter 2.44m Long HumePipesLaying & Jointing 300-450 mm Dia. Available Concrete Pipes and Collars (Cement, sand & water for jointing hume pipes paid Separately)Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Spreading , Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)Tidying upCanal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","1,122,000"
,,,,,,
,,,,,,
"702","Ankandurayaya Canal","7.289967","80.727011","The canal is fully concreted. A 450.0m long section of the existing concrete canal has collapsed. Command area 6.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","594,000"
"702","Madawela Canal","7.291187","80.724505","Most of the canal is concreted.  A 225.0m long section should be newly concreted. Command area 8.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","946,000"
,,,,,,
"702","Berawadeniya Canal","7.292641","80.722382","Most of the canal is concreted.  A 200.0m long section should be newly concreted. Command area 4.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","456,500"
,,,,,,
,,,,,,
"702","Pahalawela yaya Canal","7.291196","80.723659","The total length of the canal is about 1.5km. A section of about 450m should be newly concreted. At three places where the bed level of the canal is lower than the level of the paddy fields, anicuts should be constructed so that the paddy fields can get water easily. Command area = 13.5 acres.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","1,424,500"
,,,,,,
"704","Henawala - Nikaketiya Canal","7.302472","80.711422","The total length of the canal is about 1.5km. A section of about 550m should be newly concreted. 950m section should be Concreted. Command area = 15.0 acres.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","1,501,500"
"704","Oye Yaya Anicut and Canal","7.300826","80.712628","A concrete anicut has been constructed across Rathmal Oya and 15.0m long concrete side wall has been constructed on left bank of the Rathmal Oya at the Up stream of the anicut. During heavy rains, the path of the stream has been changed due to the washing of the stream embankment above the side wall.","Construction of 3.0m high 1:3:6 (40mm) cement concrete Retaining Wall Contingencies (10%)","1,757,250"
,,,,,,
"704","Henawela Anicut","7.308117","80.707995","An anicut made of concrete is in good condition, Planks should be placed for the open place of the anicut.","75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.MiscellaneousContingencies (10%)","27,500"
"705","Udakumbura yaya ela","7.311350","80.705847","The first section of the canal is 600mm wide and 600mm high rectangular concrete lining has been constructed.  From end of existing concrete lining, there is a 1000m long earthen canal. Command area 11.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","1,116,500"
"705","Mahakumbureyaya-Galpitayaya canal","7.312890","80.708087","The first section of the canal is 600mm wide and 600mm high rectangular concrete lining has been constructed.  From end of existing concrete lining, there is a 1000m long earthen canal. Command area 11.0 acres,","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall Contingencies (10%)","1,188,000"
,,,,,,
"705","Galamuna Canal","7.309893","80.705773","The first section of the canal is 300mm wide and 300mm high rectangular concrete lining has been constructed.  From end of existing concrete lining, there is a 300m long earthen canal. Command area 7.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","660,000"
,,,,,,
"709","Liyangas wagura amuna ela","7.334098","80.719508","A naturally flowing stream, Getting water for paddy cultivation also.A distance of 150m should be concreted near the house of Mr. Palitha Amarathunga. Command area 12.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","1,155,000"
,,,,,,
,,,,,,
"709","Lunukatiyamadiththa ela","7.325099","80.723391","The total length of the canal is about 1.5km and currently a part is concreted. A section of about 500m should be concreted. Command area 7.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","907,500"
,,,,,,
"710","Galkaduwa canal","7.315899","80.720142","Earthen canal, On the left bank of the canal, nearly a 100m long section has been bank eroded. Command area 5.0 acres,","Construction of 1.8m high 1:3:6 (40mm) cement concrete Retaining Wall Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","1,177,000"
,,,,,,
,,,,,,
