"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-104 belongs to Kundasale DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","674","Maharathanna East","1. Soil conservation practices (10˚- 20˚)","1","7.318506","80.703131","3 ha","Lock and spills and stone terracing/Live fencing/SALT, as applied","400 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,200,000",,,,,,,,,,,
"2","692","Kundasale South","No special issues are reported",,,,,,,,,
"3","698","Balagolla East","No special issues are reported",,,,,,,,,
"4","699","Balagolla West","1. Soil conservation practices (10˚- 20˚)","1","7.286724","80.707636","0.5 ha","Lock and spills and stone terracing/Live fencing/SALT, as applied","400 m-1","200,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","200,000",,,,,,,,,,,
"5","700","Kengalla","1. Soil conservation practices (20˚- 30˚)","1","7.304222","80.710864","3 ha","Lock and spills and stone terracing/Live fencing/SALT, as applied","400 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,200,000",,,,,,,,,,,
"6","701","Ihalawela","1. Soil conservation practices (20˚- 30˚)","2","7.302738","80.718564","5 ha","Lock and spills and stone terracing/Live fencing/SALT, as applied","400 m-1","2,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,000,000",,,,,,,,,,,
"7","702","Aswalapitiya","No special issues are reported",,,,,,,,,
"8","704","Hurikaduwa madige","1. Soil conservation practices (50˚- 70˚)","2","7.305596","80.707629","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,250,000",,,,,,,,,,,
"9","705","Menikhinna","No special issues are reported",,,,,,,,,
"10","709","Lunuketiyamadiththa","1. Soil conservation practices (40˚- 50˚)","3","7.334098","80.719508","50 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","12,500,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","12,500,000",,,,,,,,,,,
"11","710","Daliiwalathanna","1. Soil conservation practices (30˚- 40˚)","2","7.320032","80.719769","10 ha","Lock and spills and stone terracing/Live fencing/SALT, as applied","400 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","4,000,000",,,,,,,,,,,
"12","711","Heepitiya","1. Soil conservation practices (30˚- 40˚)","4","7.318848","80.713736","8 ha","Lock and spills and stone terracing/Live fencing/SALT, as applied","400 m-1","3,200,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","3,200,000",,,,,,,,,,,
"13","712","Malpana","1. Soil conservation practices (50˚- 70˚)","4","7.312395","80.715569","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,250,000",,,,,,,,,,,
"14","713","Galamuna","1. Soil conservation practices (20˚- 30˚)","1","7.309176","80.707297","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","250,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"27,050,000",,
