"Table 2.5: GN-wise demographic details of the MWS-104","","","","",""
"GND No","GN Name","Female","Male","No of Houses","Total number of families"
"698","Balagolla East","2315","2178","965","1155"
"704","Hurikaduwa Madige","621","603","341","367"
"674","Maharathenna East","577","530","291","305"
"710","Deliwalathenna","541","506","283","305"
"692","Kundasale South","3767","3525","1700","1920"
"702","Aswalapitiya","726","700","375","410"
"713","Galamuna","762","670","452","428"
"712","Malpana","989","922","542","548"
"699","Balagolla West","1212","794","567","570"
"700","Kengalla","1854","1781","1454","1312"
"701","Ihalawela","1636","1409","784","787"
"705","Menikhinna","1387","1448","774","857"
"711","Heepitiya","920","867","550","563"
"709","Lunuketiyamaditta","636","574","330","347"
,"Total","17943","16507","9408","9874"
