"Table 5.38: Crop suitability","",""
"Crop","Agriculture practice based on water resource","NA"
,"Irrigated","Rain fed"
"Rice","#","*"
"Maize",,"*"
"Kurakkan",,"*"
"Green gram",,"*"
"Cowpea",,"*"
"Soya bean","#","*"
"Large onion","#",
"Chili","#","*"
"Cassava",,"*"
"Sweet potato","#","*"
"Tobacco","#","*"
"Tomato","#","*"
"Local Vegetables","#","*"
