"ID","MWS","Group","Database","Layer","Name","provider","Level","Geocode","Type","Description","geojson","Year"
24,"MWS-005","Proposal","Water Resource Management for Drinking Water Supply and Irrigation","Table 5.17: Irrigation related proposals","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_17.csv",""
25,"MWS-005","Proposal","Water Resource Management for Drinking Water Supply and Irrigation","Table 5.18: Estimate of domestic water supply related activities","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_18.csv",""
26,"MWS-005","Proposal","Water Resource Management for Drinking Water Supply and Irrigation","Table 5.19: Estimate of water source protection-related activities","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_19.csv",""
27,"MWS-005","Proposal","Water Resource Management for Drinking Water Supply and Irrigation","Table 5.20: Cost estimate of minor irrigation-related proposals with locations","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_20.csv",""
28,"MWS-005","Proposal","Water Quality Improvement","Table 5.21: Key activities proposed for water quality improvement in MWS-005","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_21.csv",""
29,"MWS-005","Proposal","Conservation of Stream Reservations","Table 5.22: Stream bank protection proposals","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_22.csv",""
30,"MWS-005","Proposal","Conservation of Stream Reservations","Table 5.23: Brief description of legal provisions","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_23.csv",""
31,"MWS-005","Proposal","Conservation of Stream Reservations","Table 5.24: Total Cost Estimate for Stream Reservation Proposals","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_24.csv",""
32,"MWS-005","Proposal","Product and Entrepreneurship Development with Marketing Support and Tourism Development","Table 5.25: Packaging and transport of agricultural produce","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_25.csv",""
33,"MWS-005","Proposal","Product and Entrepreneurship Development with Marketing Support and Tourism Development","Table 5.26: Potential for tourism development and promotion in the area","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_5_26.csv",""
