"Table 5.42: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items.Needed","GNDs.Requested","Number","Unit.Cost..LKR.","Total.Cost..LKR.","Contribution.....from.line.agency..GoSL","Final.cost.to.LA..GoSL..LKR."
"Paddy","Tray","","5000","80","400000","75%","300000"
"","Supply of certified seed paddy (bu)
","","10","4200","42000","100%","42000"
"","Soil testing
","","20","290","5800","100%","5800"
"","Supply of Bio films (1 Liter) Bottles
","","20","900","18000","100%","18000"
"","supply of Cruiser as seed Treatments
","","10","900","9000","100%","9000"
"","Supply of Agri Fence
","","50","7500","375000","75%","281250"
"","Supply of Electri fence
","","20","40000","800000","75%","600000"
"","Supply of Water Pumps (Robin)
","","5","70000","350000","75%","262500"
"","Supply of Brush Cutters
","","5","30000","150000","75%","112500"
"","Supply of Knapsac Sprayers (16L)
","","2","30000","60000","75%","45000"
"Vegetables
Improvement of Cultivation Practices of Chilli (10 Farmers with 1/4 ac)
","Supply of chili hybrid seeds (MICH hy 1)

","","500","130000","65000","100%","65000"
"","Supply of Seedling trays with 72 holes
","","100","150","15000","100%","15000"
"","Supply of Poly mulch roles (1.2m*400m) 
","","2","20000","40000","100%","40000"
"","Supply of Trichoderma (1-liter bottles)
","","30","1000","30000","100%","30000"
"","Supply of sticky Traps (blue and Yellow) 20 Pack of 6x8 inches
","","10","12000","120000","100%","120000"
"","Supply of Insect Proof nets (3mx50m)
","","30","30000","900000","75%","675000"
"","Supply of Lakgrow neem 100ml bottles
","","20","1000","20000","100%","20000"
"Improvement of Cultivation Practices of Tomato (10 Farmers with 1/4 ac)","Soil testing
","","10","290","2900","100%","2900"
"","supply of Plant covers (0.8\"x200m
","","20","15000","300000","100%","300000"
"","Supply of Trichoderma (1-liter bottles)
","","20","1000","20000","100%","20000"
"","Supply of Seedling trays with 72 holes
","","100","150","15000","100%","15000"
"","Supply of organic Pesticides
","","10","500","5000","100%","5000"
"","Supply of plastic Crates (Medium size)
","","50","4000","200000","75%","150000"
"","Pheromone Traps for Tuta
","","10","900","9000","100%","9000"
"","yellow bulb system
","","1","90000","90000","75%","67500"
"Fruits","Supply of Mandarin Seedlings
","","300","300","90000","100%","90000"
"Development of Agriculture Entrepreneurship
","Constructions of 1000 sq feet’s Poly Tunnels
","","2","700000","1400000","75%","1050000"
"","Supply of Bee Keeping Boxes 
","","10","3000","30000","100%","30000"
" Export Crops","Pepper","Godamunna west-1200, Medagama udagama-7500, Letiyagolla-3000","11,700","40","468,000","100%","468,000"
" ","Clove","Letiyagoll-1500, medagama udagama-15,","1,515","130","196,950","100%","196,950"
"Livestock","No of cow","Medagama udagama-5, Bootewatte north-5, narangasthenna-5, medagama pallegama-5, Nugaliyadda pahala-2, Doolmure-2, Sriyagama-15,","39","250,000","9,750,000","50%","4,875,000"
" ","No of goat","Sriyagama-20, Doolmure-5, Narangasthenna-1Botewatte north-15","41","40,000","1,640,000","50%","820,000"
" ","No of chicks","Medagama udagama-100, Bootewatte north-100, medagama pallegama-100, narangasthenna-12, nugaliyadda pahala-2, Doolmurr-50, bolepa-10, godamunna east-60, nugaliyadda ihala-10","442","1,500","663,000","50%","331,500"
" ","Incubator","Sriyagama-1, bolepa-1, doolmure-2nugaliyadda pahala-1, narangasthenna-2, medagama pallegama-1, botewatte south-2, bootewatte north-2","11","60,000","660,000","50%","330,000"
" ","No of sheds - cow","Letiyagolla-5, Medagama udagama-5, nugaliyadda ihala-2, sriyagama-5, godamunna east-1, bolepa-1, Doolmure-3, Nugaliyadda pahala-2, Medagama pallegama-5 bootewatte north-5","34","300,000","10,200,000","50%","5,100,000"
" ","No of sheds - goat","Letiyagolla-4, bootewatte north-15, narangasthenna-1, Doolmure-2, Sriyagama-15","37","150,000","5,550,000","50%","2,775,000"
" Value added products","Black Pepper making machines (Balancing kit)","Medagama udagama-5","5","10,000","50,000","50%","25,000"
" ","White pepper production machines","Medagama udagama -5","5","55,000","275,000","50%","137,500"
" ","Curry powder grinding","Letiyagolla-1, Godamunna west-1, nugaliyadda-1, bolepa-1, godamunna east-1, Doolmure-1, bootewatte north-1","7","120,000","840,000","50%","420,000"
" ","Ginger slicing machine","Nugaliyadda ihala-1","1","150,000","150,000","50%","75,000"
"Total Cost","","","","","","","19,934,400"
