Tank name,Ownership,N,E,Remarks
Muthukeliyawa Wewa,DAD,7.213453,80.696547,Recommended to improve reservation
Kirimetiya Wewa,DAD,7.216957,80.689617,Recommended to improve reservation and eradicate aquatic weeds
Pihibiyakele  Wewa,DAD,7.22313,80.67952,Recommended to improve reservation
Katukithula Wewa,DAD,7.22105,80.68088,Recommended to improve reservation
Bogamuwa Wewa,DAD,7.2027805,80.69781,Recommended to improve reservation
