"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-005","","","","","","","","","","","",""
"No","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Uniti.Cost..LKR.","Total.Cost..LKR.","Contribution","Time.frame.for.the.implementation","NA."
"","","","","","N or X","E or Y","","","","","",""
" "," ",""," "," "," ",""," ","Cultivating perennial crops (fruits, coffee, pepper etc.)"," ","",""," "
" "," ","","4. Soil conservation practices (30°) - Udagedara waththa"," "," ","","0.5 ha","Lock and spills and/or live fencing/SALT/stone terracing, as applied","400 m-1","200,000","Labour and other basic services by the Local community","0.25 Years"
" "," "," "," "," "," "," "," ","Cultivating perennial crops (fruits, coffee, pepper etc.)"," ",""," "," "
"Sub Total","575,000"," "," ",,,,,,,,,
"9","991","Kapuliyadda West","2. Soil conservation practices (45 -60°) - Kivullinda","3","7.240583","80.719643","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000","Labour and other basic services by the Local community","0.25 Years"
" "," ",""," ","3","7.240898","80.719578","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","2. Soil conservation practices (70 - 85°) - Kivullinda Junction (upper)","1","7.240003","80.716473","2.5 ha, 20 m","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000","Labour and other basic services by the Local community","0.25 Years"
" "," "," "," "," "," "," "," ","Planting trees"," ",""," "," "
"Sub Total","2,000,000"," "," ",,,,,,,,,
"10","992","Kapuliyadda East","No special issues are reported",,,,,,,,,
"11","993","Narangasthenna","4. Soil conservation practices (30°) - Kalmuka","1","7.231926","80.707528","4 ha","Lock and spills","400 m-1","1,600,000","Labour and other basic services by the Local community","0.25 Years"
" "," ",""," "," "," ",""," ","Introduce perenial crops (Coffee, pepper etc.)"," ","","",""
" "," ","","5. Soil conservation practices (20°) - Nikalawela","3","7.234605","80.711505","6 ha","Lock and spills and/or live fencing/SALT/stone terracing, as applied","400 m-1","2,400,000","Labour and other basic services by the Local community","0.5 Years"
" "," ","","6. Soil conservation practices (60°) - Narangasthenna","4","7.235092","80.711788","0.25 ha","Live fencing/SALT","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
" "," ",""," "," "," ",""," ","Introduce perenial crops (Coffee, pepper etc.)"," ","","",""
" "," ","","8. Soil conservation practices (70°) - Korale Gedara Waththa","4","7.23565","80.71346","1.5 ha","Live fencing/SALT","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
" "," "," "," "," "," "," "," "," "," ","","",""
"Sub Total","4,437,500"," "," ",,,,,,,,,
"12","995","Welegama","8. Soil conservation practices - Arawala (70°)","5","7.229896","80.709403","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
" "," ","","9. Soil conservation practices - Arawala Temple (70°)","4","7.229496","80.708396","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
" "," ","","10. Soil conservation practices - Personal (70°)","4","7.224088","80.707343","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","11. Soil conservation practices - Personal (70°)","1","7.227172","80.72014","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","7,700,000"," "," ",,,,,,,,,
"13","996","Madagama Udagama","10. Soil conservation practices - Kongahapitiya (80°)","3","7.217102","80.707857","24 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,000,000","Labour and other basic services by the Local community","1.5 Years"
" "," ",""," "," "," ",""," ","Introducing perennial crops like coffee, pepper etc."," ","",""," "
" "," ","","11. Soil conservation practices - Kathgammana Rodaya Mukalana (40°)","4","7.218578","80.702787","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
" "," ",""," "," "," ",""," ","Introducing perennial crops like coffee, pepper etc."," ","",""," "
" "," ","","12. Soil conservation practices - Lokuwaththa (45°)","4","7.214675","80.703583","14 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,500,000","Labour and other basic services by the Local community","1 Year"
" "," ",""," "," "," ",""," ","Introducing perennial crops like coffee, pepper etc."," ","",""," "
" "," ","","13. Changing crops into perrenial crops ","5","7.211507","80.70158","100 ha","Introducing perennial crops like coffee, pepper, tea, clove etc."," ","","With respective departments, Export Agriculture, TSDA etc.","2 Years"
" "," ","","14. Soil conservation practices - Wega Farm (60°)","2","7.214011 7.207408","80.699760 80.698495","100 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","25,000,000","At least half of the cost to be born by the Wega Farm/ Need a thourough assessment prior to implementation","2 Years"
" "," ","","15. Soil conservation practices - Galahawula (60°)","4","7.208513","80.706547","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","36,250,000"," "," ",,,,,,,,,
"14","997","Medagama Pallegama","No special issues are reported",,,,,,,,,
"Sub Total","-"," "," ",,,,,,,,,
"15","999","Bolapa","12. Soil conservation - Kiwulalinda Lunu Ella (85°)","1","7.238906","80.723236","26 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,500,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","6,500,000"," "," ",,,,,,,,,
"16","987","Doolmure","5. Soil conservation - Mihidunthenna (20°)","4","7.241753","80.705027","3 ha","Lock and spills and/or live fencing/SALT/stone terracing, as applied","400 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
" "," "," ","6. Soil conservation - Doolmure (45°)","3","7.242649","80.705671","7 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,750,000","Labour and other basic services by the Local community","0.5 Years"
" "," "," ","7. Soil conservation - Doolmure (40°)","1","7.241219","80.708716","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","4,450,000"," "," ",,,,,,,,,
"17","994","Godalawela","5. Soil conservation - Doolmure (30 - 65°)","1","7.235738","80.719151","30 ha","Lock and spills - 10 ha","400 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
""," "," ",""," ",""," ","","Stone terracing - 4 ha","2,500 m-1","10,000,000","Labour and other basic services by the Local community","0.25 Years"
""," "," "," "," "," "," "," ","Live fencing/SALT - 16 ha","250 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
"","Sub Total","18,000,000"," "," ",,,,,,,,
"","GRAND TOTAL","156,137,500","","",,,,,,,,
