"Table 2.7: Occupational details of the community of MWS-005 (GN-wise)","","","","","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8","NA  9","NA  10","NA  11","NA  12"
,,"Executive/ Manager","Clerk","Industrial","Security Services","Foreign employment","Masonry","Carpenter","Animal Husbandry","Business","Apparel","Labour","Agriculture","Plantations","Others"
"999","Bolepa",,"42","2","28","2","2","2","2","5","15","25","70","1","2"
"984","Bootawatta North","71","51","12","16","23","19","7","27","41","27","52","67","4",
"985","Bootawatta South","5","26","3","30","3","3","3","9","6","8","15","32",,"5"
"987","Doolmure","3","18","16","12","10","20","7","15","5","18","40","48","2",
"994","Godalawela","2",,"9","31","4","29","3","7","5","40","20","65",,
"989","Godamunna East","2","20","2","26","2","8","2","15","30","35","29","15","22",
"990","Godamunna West","1","5","4","46","3","3","2","8","6","13","12","47",,
"992","Kapuliyadda East","5","6","8","15","12","3","3","1","13","15","10","50",,"48"
"991","Kapuliyadda West","4","2","3","6","8","2","2","3","5","7","1","20","20",
"975","Letiyagolla","8","23","10","20","13","11","9","15","22","20","30","14","9","20"
"997","Medagama Pallegama",,"15","10","65",,"4","4","19","4","42","20","180","2",
"996","Medagama Udagama",,"6",,,,,,"25","4","15",,"175",,
"993","Narangasthenna","2","12","7","42","7","10","5","10","3","12","52","71","1","59"
"983","Nugaliyadda Ihala",,"4","3","28","3","10","3",,"6","20","58","51","2",
"982","Nugaliyadda Pahala",,"7","5","16","7","9","5","8","9","12","34","52","15",
"974","Sriyagama",,,,"6","21","40",,"150","8","15","300","150","100","2"
"995","Welegama",,"5","2","10","8","2","1","12","6",,"6","290",,
,"Total","103","242","96","397","126","175","58","326","178","314","704","1397","178","136"
