"Table 5.4: Details of minor tanks available in MWS-101-1","","",""
"Tank name","Land ownership","Location details","Remarks"
"Pathaha","DAD","7.312861N, 80.729072E","The spring to be developed. Sludge has been removed in July 2024."
"Hulu ganga","DAD or Forest Department","7.331511N, 80.741763E","Planting trees such as Areca nut, Kumbuk, Mee or Bamboo is proposed.  Paving available stones in the stream banks necessary for preventing bank erosion."
