"Table 5.33: Three-year plan MWS-101-1","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2026","2027","2028",,,
,,"RP","DP","RP","DP","RP","DP"
"647","Dunuhappawa","0.5","0","0.5","0","0.5","0"
"649","Alawathugirigama","1","0","1","0","1","0"
"734","Kandekumbura","0.5","0","0.5","0","0.5","0"
,"Total","2","0","2","0","2","0"
