"Table 5.26: Proposed interventions MWS-101-1","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
"Forest Restoration 
(2 ha)","Katukandagolla, 7.356114, 80.723358","Surveying (1.5 Man days/ha)","3","Man days","2,500","7,500","2026"
,,"Seedling production 500 seedling / ha (12\" x 18\")","800","Seedlings","300","240,000",
,,"Transportation of seedlings to the site (300 Seedlings/ lorry load)","3","Lorry loads","7,500","22,500",
,,"Transportation of seedlings inside the field (5 Man days / ha)","10","Man days","2,500","25,000",
,,"Removal of Mana grasses and other unwanted bushes","30","Man days","2,500","150,000",
,,"Holing and planting (33 Man days /ha)","66","Man days","2,500","165,000",
,,"Fertilizer","80","Kg","300","24,000",
,,"Fertilizer application (9 Man days/ ha)","18","Man days","2,500","45,000",
,,"Vacancy Planting -Seedling cost (20%)","160","Seedlings","300","48,000","2027"
,,"Vacancy Planting - Holing & Planting (7 Man days)","14","Man days","2,500","35,000",
,,"Vacancy Planting (10%)- Seedling cost","80","Seedlings","300","24,000","2028"
,,"Vacancy Planting - Holing & Planting 
(4 Man days)","8","Man days","2,500","20,000",
,,"1st years 
3 maintenance, 
16 Man days, 3 times/yea","96","Man days","2,500","240,000","2027"
,,"2nd year 
2 maintenance
 (2 times /year) 10 Man days","40","Man days","2,500","100,000","2028"
,,"3rd year 
2 maintenance (Once only) 10 Man days","20","Man days","2,500","50,000","2029"
,,"4th year 
1 maintenance (Once only) 
10 Man days","20","Man days","2,500","50,000","2030"
,,"Fuel (Supervision)","1","Lump sum","80,000","80,000","2026-2030"
,,,,,"Sub Total","1,326,000",
,,"Contingency (10%)",,,,"132,600",
,,,,,"Total","1,458,600",
"Develop 130 Home Gardens","Narampanawa,
Deldaslanda, Katukandagolla","Purchasing fruit plants (9\"x6\")","1,300","Seedlings","300","390,000","2025"
,,"Production of Seedlings         (Forest plants) (9*6)","3,900","Seedlings","50","195,000",
,,"Loading                                             (01 Man day/1,800 Seedlings)","4","Man days","2,500","10,000",
,,"Unloading                                        (01 Man day/1,800 Seedlings)","4","Man days","2,500","10,000",
,,"Transportation and distribution (2,000 Seedling/Lorry load)","3","Lorry load","7,500","22,500",
,,,,,"Sub Total","627,500",
,,"Contingency (10%)",,,,"62,750",
,,,,,"Total","690,250",
"Watershed Conservation (Stream reservation) 
2 Km)","Morella Rain Forest 7.370846, 80.729190","Producing 100 seedlings (12\"x18”) (Kumbuk and Mee)","200","Seedlings","300","60,000","2025"
,,"Transportation of seedlings (300/Lorry load)","1","-","5,000","5,000",
,,"Head transport of seedling within the site (5 Man days)","5","Man days","2,500","12,500",
,,"Holing and planting (33 Man days)","33","Man days","2,500","82,500",
,,"Protection wooden structures-\"Koodu\" (1.5'x1.5'x5')-","200","Wooden boxes","250","50,000",
,,"Fertilizer (110 gr / Seedling)","20","Kg","300","6,000",
,,"Applying fertilizer (9 Man days/ha)","9","Man Days","2,500","22,500",
,,"Vacancy Planting -Seedling cost (20%)","40","Seedlings","300","12,000","2026"
,,"Vacancy Planting - Holing & Planting (7 Man days)","7.0","Man days","2,500","17,500",
,,"Vacancy Planting (10%)- Seedling cost","20","Seedlings","300","6,000","2027"
,,"Vacancy Planting - Holing & Planting (7 Man days)","4","Man days","2,500","10,000",
,,"1st years 3 maintenance, 12Man days, 3 times/year","36","Man days","2,500","90,000","2026"
,,"2nd year 2 maintenance (2 times /year) 10 Man days","20","Man days","2,500","50,000","2027"
,,"3rd year 2 maintenance (Once only) 8 Man days","20","Man days","2,500","50,000","2028"
,,"4th year 1 maintenance (Once only) 12 Man days","12","Man days","2,500","30,000","2029"
,,"Fuel cost (Supervision)","1","Lump sum","10,000","10,000","2025-2029"
,,,,,"Sub Total","514,000",
,,"Contingency",,,,"51,400",
,,,,,"Total","565,400",
"Establishment and maintenance of fire Belt with “Hana” plants - (Two rows in a zig zag arrangement) -3 Km","Katukandagolla, 7.356114, 80.723358","Seedling Production (12\"x8\")","600","Seedlings","100","60,000","2025"
,,"Transportation of seedlings to the site,(300 Seedlings / Lorry load)","2","Lorry loads","7,500","15,000",
,,"loading and unloading (300 plants/ Man day)","2","Man days","2,500","5,000",
,,"Seedling transportation within the field (1000/6 Man days)","4","Man days","2,500","10,000",
,,"Clearing the land, holing and planting (600 plants/15 Man days)","15","Man days","2,500","37,500","2025"
,,"Protective net /plant (repurposed fishnet)","600","Net","60","36,000",
,,"Vacancy Planting -Seedling cost (20%) - Plant cost includes transportation, loading, unloading, transportation within the site","120","Seedlings","150","18,000",
,,"Vacancy Planting - Holing & Planting (7 Man days)","7","Nan days","2,500","17,500",
,,"1st year 3 maintenance,","60","Man days","2,500","150,000","2026"
,,"Repairing protective net","200","Net","60","12,000","2027"
,,,,,"Sub Total","361,000","2028"
,,"Contingency (10%)",,,,"34,900","2029"
,,,,,"Total","395,900",
"Conversion of Acacia Plantation in to Natural forest (6 ha)","Dunuhappawa,
7.356865, 80.720612","Surveying (1.5 Man days/ha)","9","Man days","2,500","22,500","2026"
,,"Seedling production 400 seedling / ha (12\" x 18\")","2,400","Seedlings","300","720,000",
,,"Transportation of seedlings to the site (300 Seedlings/ lorry load)","8","Lorry loads","7,500","60,000",
,,"Transportation of seedlings inside the field (5 Man days / ha)","30","Man days","2,500","75,000",
,,"Removal of Mana grasses and other unwanted bushes","30","Man days","2,500","450,000",
,,"Holing and planting (33 Man days /ha)","198","Man days","2,500","495,000",
,,"Fertilizer","240","Kg","300","72,000",
,,"Fertilizer application (9 Man days/ ha)","54","Man days","2,500","135,000",
,,"Vacancy Planting -Seedling cost (20%)","480","Seedlings","300","144,000","2027"
,,"Vacancy Planting - Holing & Planting (7 Man days)","42","Man days","2,500","105,000",
,,"Vacancy Planting (10% )- Seedling cost","240","Seedlings","300","72,000","2028"
,,"Vacancy Planting - Holing & Planting (4 Man days)","24","Man days","2,500","60,000",
,,"1st years 3 maintenance, 16 Man days, 3 times/yea","288","Man days","2,500","720,000","2027"
,,"2nd year 2 maintenance (2 times /year) 10 Man days","120","Man days","2,500","300,000","2028"
,,"3rd year 2 maintenance (Once only) 10 Man days","60","Man days","2,500","150,000","2029"
,,"4th year 1 maintenance (Once only) 10 Man days","60","Man days","2,500","150,000","2030"
,,"Fuel (Supervision)","1","Lump sum","80,000","80,000",
,,,,,"Sub Total","3,810,500",
,,"Contingency (10%)",,,,"381,050",
,,,,,"Total","4,191,550",
,,,,,"Grand Total","15,734,218",
