"Table 2.5: GN-wise demographic details of the MWS-007-1","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"1001","Haragama","519","528","924","881"
"1004","Kethigannawela","151","155","329","269"
"1006","Pathamailapitiya South","371","426","647","564"
"988","Singharagama","230","240","429","391"
"1002","Udamailapitiya North","321","332","586","425"
,"Total","1,592","1,681","2,915","2,530"
