No.,GN Division No.,GN Division,Non-point sources of pollution,N or X,E or Y,Point sources of pollution,Recommended water quality improvement measures,Unit Cost (Rs.),Total Cost (Rs.),"Contributions (Local Community, LA, Project)",Time frame for the implementation
1,988,Sinharagama,"Addition of beer tins, plastic, polythene etc.",7.251845,80.71205,,Awareness programme on proper disposal of household waste,,"50,000.00",Local Government,0.5 Years
2,1001,Haragama,Addition of household wastes - Anuragama Main Road,7.245923,80.72964,,Awareness programme on proper disposal of household waste,,"50,000.00",Local Government,0.5 Years
3,1001,Haragama,,7.241048,80.72779,,Facilitate collection of waste by the local government with a proper schedule,,,,
4,1002,Uda Mailapitiya North,Accumulation of household waste in different places,,,,"Awareness programme on proper disposal of household waste
Facilitate collection of waste by the local government with a proper schedule",,"50,000.00",Local Government,0.5 Years
