No,GND No.,Scheme,Problem to be addressed /Recommendations,N,E,Estimated Cost
1,1002,Udamailapitiya North Stream near Suramya stores,"Water leaks through masonry retaining wall. Recommend to 
1. Provide 100mm thick 300mm high concrete curtain wall with base for 25m long section.
2. Fill cavities and re-plaster for 300mm high 15m length.
3. Dense planting of mixed vegetation comprising Areca nut trees Kumbuk/ Mee/ Godapara/ Kaduru/Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval about 100 Sq.m",7.22827,80.75144,"350000
50000"
2,1002,Udamailapitiya North- Well and Spring near Pragathi Plant Nursery,"Part of the retaining wall, about 50m long portion, is nearly collapsing. Recommend Constructing 150mm thick x750mm high x50m long RCC retaining wall with 600mm base.",7.22967,80.75175,"900,000"
