"Table 2.1: Administrative details of MWS-007-1","","","","","",""
"ID","GND.No","GN.Name","Total.Area.of.the.GN..ha.","Area.in.the.MWS..007.1..ha.","X..Area.belongs.to.MWS..007.1","Remarks"
"1","999","Bolepa*","136.5","27.8","20.4%","Included in 005"
"2","1008","Damunugolla*","44.3","2.5","5.6%","Included in 006-1"
"3","1001","Haragama","406.3","406.3","100.0%"," "
"4","992","Kapuliyadda East*","52.8","8.0","15.2%","Included in 005"
"5","1004","Kethigannawela","123.7","103.3","83.5%"," "
"6","1000","Medadeniya*","119.9","6.8","5.7%","Included in 006-1"
"7","1005","Pathamailapitiya North*","362.5","155.1","42.8%","Included in 008-1"
"8","1006","Pathamailapitiya South","287.8","261.7","90.9%"," "
"9","986","Pinnagolla*","84.0","3.1","3.6%","Included in 004-2"
"10","957","Pussathenna*","131.3","0.5","0.4%","Included in 004-2"
"11","988","Singharagama","203.3","183.0","90.0%"," "
"12","1002","Udamailapitiya North","137.4","115.6","84.2%"," "
"13","1003","Udamailapitiya South*","200.3","30.2","15.1%","Included in 008-1"
"14","1024","Unuvinna East*","279.2","3.7","1.3%","Included in 008-1"
"15","1025","Unuvinna West*","135.4","5.8","4.3%","Included in 008-1"
