ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-016,Proposal,Soil and Water Conservation,Key activities proposed for soil and water conservation in MWS-016,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_016/Table 6_1.geojson,
2,MWS-016,Proposal,Soil and Water Conservation,Details of Reported landslides in MWS-016,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_016/Table 6_2.geojson,
8,MWS-016,Proposal,Water resource management,Estimate of domestic water supply and water source protection-related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_016/Table 6_8.geojson,
9,MWS-016,Proposal,Water resource management,Cost estimate of minor irrigation-related proposals with locations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_016/Table 6_9.geojson,
13,MWS-016,Proposal,Water quality improvement,Details related to water pollution in MWS-016 belong to the Mathurata DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_016/Table 6_13.geojson,
15,MWS-016,Proposal,Stream Reservation,Total Cost Estimate for Stream Reservation Proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_016/Table 6_15.geojson,
