No. ,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,512,Wellagiriya,1. Renovation of natural drains - Belihul Oya,5,Off,7.08509,80.78712,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,-,"100,000.00",Labour and other basic services by the Local community/ Shramadana,0.5 Years
2,512,Wellagiriya,2. Renovation of natural drains - Hawariella Oya,5,Off,7.067708,80.786231,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,-,"100,000.00",Labour and other basic services by the Local community/ Shramadana,0.5 Years
3,512,Wellagiriya,3. Soil conservation practices - Etamagodawatta (65°),4,On,7.073599,80.78923,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",Labour and other basic services by the Local community/ Shramadana,0.5 Years
4,512,Wellagiriya,4. Soil conservation practices - Udaarawa (70°),2,On,7.072729,80.790123,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00",Labour and other basic services by the Local community/ Shramadana,0.5 Years
5,512,Wellagiriya,5. Soil conservation practices - Udaarawa (70°),5,On,7.072157,80.790728,3 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"750,000.00",Labour and other basic services by the Local community/ Shramadana,0.5 Years
