"Table 5.1: Distribution of soil erosion hazard classes in MWS-010","","",""
"Category","Critical Range","Area  ha","Area"
"Very low","0-5 t ha-1 y-1","618.3","31.8%"
"Low","5-10 t ha-1 y-1","159.7","8.2%"
"Moderate","10-20 t ha-1 y-1","206.3","10.6%"
"High","20-50 t ha-1 y-1","403.3","20.8%"
"Very high",">50 t ha-1 y-1","556.0","28.6%"
