"Table 5.26: Forest Plantation with exotic species in the MWS-010","","","",""
"Species","Beat","FA Division","Extent  ha","Present status"
"Pinus","Hanguranketha","Hewaheta","20.5","Mature plantation"
"Eucalyptus","Hanguranketha","Hewaheta","7.2","Young planation"
