"Table 5.5: Details of minor tank available in MWS-010","","",""
"V1","V2","V3","V4"
"Tank name","Ownership","Location details","Remarks"
"Muloya Wewa","NWS&DB","7.10277 N, 80.75558 E","Recommended to desilt the tank and improve reservation and agroforestry"
