Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (Rs.)
Paddy,Tray,Kirimetiya2-250,250,80,"20,000",50%,"10,000"
,Electric fence,Kirimetiya2-10,10,"36,000.00","360,000",50%,"180,000"
Fruits,Banana,"Rahathungoda-50, Muloya-50",100,120,"12,000",100%,"12,000"
,Avocado,Rahathungoda-30,30,200,"6,000",100%,"6,000"
,Mango,Rahathungoda-50,50,300,"15,000",100%,"15,000"
Export Crops,Coffee,"Kirimetiya2-1200, Rahathungoda-400",1800,30,"54,000",100%,"54,000"
,Pepper,"Kirimetiya2-1200, Rahathungoda-500",1700,40,"68,000",100%,"68,000"
,Vanilla, Muloya-50,50,40,"2,000",100%,"2,000"
,Clove,Rahathungoda-50,50,130,"6,500",100%,"6,500"
,Ginger,Rahathungoda-300,300,18,"5,400",100%,"5,400"
Livestock,No of cow,"Rookwood Estate-3, Rahathungoda-2, Muloya-2",7,"250,000","1,750,000",50%,"875,000"
,No of goat,"Rookwood Estate-10, Rahathungoda-5, Muloya-2, Hope-5",22,"40,000","880,000",50%,"440,000"
,No of chicks,"Kirimetiya2-5, Rookwood Estate- 30, Rahathungoda-20, Hope-10",65,"1,500","97,500",50%,"48,750"
,Incubator,"Kirimetiya2-2, Rahathungoda-2",4,"60,000","240,000",50%,"120,000"
,No of sheds - cow,"Kirimetiya2-2, Rahathungoda-2, Muloya-5, Hope-5",14,"300,000","4,200,000",50%,"2,100,000"
,No of sheds - goat,"Rahathungoda-5,Muloya-2, Hope-5",12,"150,000","1,800,000",50%,"900,000"
Protected Agriculture,Polytunnel,"Kirimetiya2-4, Rahathungoda-1, Muloya-10",15,"700,000","10,500,000",50%,"5,250,000"
Value added products,Bee keeping (Box 4000/= & 4000/= bees),"Kirimetiya-5, Rahathungoda-1, Muloya-5",11,"8,000","88,000",75%,"66,000"
,Curry powder grinding,Rahathungoda-1,1,"120,000","120,000",50%,"60,000"
Total Cost,,,,,"20,224,400",,"LKR 9,995,650 "
