No. ,GN Division No.,GN Division,Non-point sources of pollution ,N or X,E or Y,Point sources of pollution ,N or X,E or Y,Recommended water quality improvement measures,Unit Cost (Rs.),Total Cost (Rs.),"Contributions (Local Community, LA, Project)",Time frame for the implementation
1,501G,Hope,No special issues reported,,,,,,,,,,
2,499 G,Kirimetiya2,No special issues reported,,,,,,,,,,
3,501B,Muloya,Improper disposal of waste,7.093153,80.750548,,,,Preparing a separate place in home gardens for disposing household waste,,,Local/Central governments ,0.5 Years
4,501B,Muloya,Addition of household wastes/garbage to water sources,7.091151,80.749759,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost
Facilitating garbage collection",,"50,000.00",,
5,501,Rahathungoda,No special issues reported,,,,,,,,,,
6,501F,Rookwood Estate,No special issues reported,,,,,,,,,,
,,,,,,,,,,,"50,000.00",,
