"Table 5.34: Three year plan MWS-010","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2025","2026","2027",,,
,,"RP","DP","RP","DP","RP","DP"
"501 G","Hope","1","1","-","1","1","1"
"499 G","Kirimetiya 2","1","2","1","1","1","1"
"501 B","Muloya","1.5","1","1","1","1","1"
"501","Rahathungoda","1","1.5","1","1","1","1"
"501 F","Rookwood Estate","1","1","0.5","1","0.5","1"
,"Total","5.5","6.5","3.5","5","4.5","5"
