"Table 5.6: Salient details of Muloya Wewa in MWS-010",""
"Tank Name","Muloya Wewa"
"GN","Muloya"
"MWS","010"
"DS","Hanguranketha"
"District","Nuwara Eliya"
"Ownership","NWSDB"
"Year of Construction","2008-2009"
"Location (Lat)","7.10277"
"Location (Lon)","80.75558"
"Hydrological zone","<Null>"
"Water Surface Area (approx.) (ha)","0.25"
"Catchment Area (gross) (km2)","<Null>"
"Catchment Area (net) (km2)","<Null>"
"Total command area (ha)","<Null>"
"Farm Organization","<Null>"
"F.O. registration number","<Null>"
"Reservations are available or not","<Null>"
"Reservations are marked or not","<Null>"
"Bund","Concrete"
"Bund Length (m)","40m"
"Top width (m)","1m"
"Visible bund height (m)","7m"
"US & DS slopes (h/b)","With counterforts"
"Availability of rip rap","<Null>"
"Spillway","Ogee"
"Station (km+m)","<Null>"
"Type","Entire length"
"Length (m)","40m"
"Observed Afflux (m)","600m"
"Duration of spilling (days)","Perennial"
"Sluices","<Null>"
"No of Sluices (nos)","3 outlets"
"Station/s (km+m)","<Null>"
"Type/s","Head wall type"
"Barrel size/s (mm)","225 and 150"
"command area of the sluice (ha)","<Null>"
"Observations / Damages","Water quality issues, household garbage, Cow sheds, stream water quality related issues, Desilting (1/2AC, 4 ft deep"
"Recommendation","Make a suitable strategy to collect the domestic waste, Stream regulation by SABO dams, Reforestation about (1AC), Introduction of agro forestry, Capacity building, Periodic desilting through NWS&DB"
