"Table 2.7: Occupational details of the community of MWS-010 (GN-wise)","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"Government","Semi Government","Private","Self-Occupied","Estate Worker","Agriculture","Laborer","Foreign Employment","Other","Unemployed"
"501G","Hope","16","56","776","64","493","270","342","27","-","51"
"499G","Kirimetiya2","30","5","75","5","10","50","10","4","50","2"
"501B","Muloya","23","13","570","38","670","90","-","27","60","689"
"501","Rahathungoda","34","5","70","66","100","45","40","17","-","10"
"501F","Rookwood Estate**","13","20","528","61","1,631","99","-","16","-","-"
,"Total","116","99","2,019","234","2,904","554","392","91","110","752"
