"Table 5.25: Forest reserves and their protection status in MWS-010","","","","","",""
"Forest reserve","Total Extent","Extent in the MWS","Peripheral length  Km","Gazette No","Gazette date","Length of boundary demarcated with concreate posts  Km"
"Kirimetiya forest","79.5","79.5","9.5","-","-","9.5"
"Piduruthalagala Conservation Forest","4,200",,"16.1","1527","14.12.2007","16.1"
