"Table 5.8: Detail summary of minor tanks restoration and repair costs in MWS-010","","",""
"V1","V2","V3","V4"
"Tank name","Land ownership","Location details","Tentative Estimate (RS.)"
"Muloya Wewa","5,765,760","7.10277 N, 80.75558 E","5,765,760"
"Total","5,765,760",,
