No. ,GN Division No.,GN Division,Land Slides,N or X,E or Y,NBRO Recommendation,Proposed Measures
1,501G,Hope,No special issues reported,,,,
2,499G,Kirimetiya2,No special issues reported,,,,
3,501B,Muloya,"Soil sloughing, breaking/collapsing walls of the buildings - - Muloya Regional Hospital",7.09745,80.750984,Needs NBRO concern,Establishing a rubble masonry wall (30 m x 3.6 m)
4,501,Rahathungoda,No special issues reported,,,,
5,501F,Rookwood Estate,No special issues reported,,,,
