Activity,Location,Number and Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programs ,"Hopewatta,",6,"20,000","120,000",2025 and 2026
,"Handawalapitiya,",,,,
,Aluthgama,,,,
Establish forest protection action groups (With fire protection items),"Hopewatta,",3,"25,000","75,000",2025
,"Handawalapitiya,",,,,
,Aluthgama,,,,
Maintain forest boundaries,Kirimetiya forest,9.9 Km/ 515 boundary posts,190/Boundary posts,"195,700",2025 and 2028
Maintain forest boundaries,Piduruthalagala Conservation forest,16.1Km/ 644 boundary posts,220/boundary posts,"283,360",2025 and 2028
Erect display boards,"Hopewatta,",6 Boards,"20,000","120,000",2025
,"Handawalapitiya,",,,,
,Aluthgama,,,,
Distribute energy efficient stows,"Hopewatta,",100 units,400,"40,000",2025
,"Handawalapitiya,",,,,
,Aluthgama,,,,
Establish live fence with Hana,Kirimetiya,2 km,"200,000","400,000",2025
Maintenance of Live fence,Kirimetiya,2km,"90,000","360,000",2026 - 2030
Conversion of pine into broad leaves species,Sub block 2-2 and sub block 2-3 of Hanguranketha,13 ha,"150,000","1,950,000",2026
Maintenance of converted plantations into broad leaved species,Hanguranketha,13 ha,"100,000","1,300,000",2027-2030
Introduce high yielding grass species into private lands,"Hopewatta,",20 ha,"5,000","100,000",2026
,"Handawalapitiya,",,,,
,Aluthgama,,,,
Home garden development,"Hopewatta,",100 Home gardens,2000,"200,000",2026
,"Handawalapitiya,",,,,
,Aluthgama,,,,
Total Cost,,,,"5,144,060",
