"Table 2.7: Occupational details of the community of MWS-004-2 (GN-wise)","","","","","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8","NA  9","NA  10","NA  11","NA  12"
,,"Executive/ Manager","Clerk","Industrial","Security Services","Foreign employment","Masonry","Carpenter","Animal Husbandry","Business","Apparel","Labour","Agriculture","Plantations","Others"
"971","Ankelipitiya","20","25","29","53","11","12","7","16","35","21","63","40","10","44"
"959","Batagalla","1","3","5","19","10","10","4","6","30","10","15","53","1",
"968","Ethulgama East","1",,"3","31","9","10","3","15","9","13","4","98","4",
"965","Ethulgama South","2","12","6","18","3","3","2","12","7","12","49","42","12",
"972","Haputale Egodagama",,"1","1","25","24","122","12",,"18","25","125","43","5",
"970","Haputale Pallegama","1","3","5","18","7","15","12","15","12","25","14","30",,"21"
"969","Haputale Udagama","1","5","4","35","11","13","10","8","8","9","20","38",,
"958","Hipppala",,"13","4","3","3","8","9","2","6","10","45","40",,
"956","Kossinna","3","10","7","30","10","16","9","15","7","15","47","4","3",
"973","Moragolla","2","23","9","16","31","25","8","11","25","51","56",,"1",
"986","Pinnagolla",,"40","27","21","16","15","8","45","15","30","75","8","5",
"957","Pussatenna","2","4","6","25","33","22","5","41","18","4","87","28","9",
"961","Thalathuoya East","6","40","3","8","1","4","4","2","32","20","48","1","4",
"960","Thalathuoya West",,,"3","9","3","4","2","2","12","6","11","3",,
,"Total","39","179","112","311","172","279","95","190","234","251","659","428","54","65"
