"Table 5.1: Distribution of soil erosion hazard classes in MWS-004-2","","",""
"Category","Critical.Range","Area..ha.","Area...."
"Very low","0-5 t ha-1 y-1","366.8","32.6%"
"Low","5-10 t ha-1 y-1","102.0","9.1%"
"Moderate","10-20 t ha-1 y-1","181.7","16.2%"
"High","20-50 t ha-1 y-1","269.5","24.0%"
"Very high",">50 t ha-1 y-1","204.3","18.2%"
