"Table 5.12: Estimate for rehabilitation of Udakumbura lake in Morahela GND (527B)","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","48,060.00"
"2","Miscellaneous","1,940.00"
,"CIVIL COST","50,000.00"
"3","Contingencies 10%","5,000.00"
,"TOTAL COST","55,000.00"
