"Table 5.8: Estimate for rehabilitation of Diya Bibula Reservation in Kurupanawela GND (530A)","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","57,672.00"
"2","Rehabilitation of tank bund","10,000.00"
"3","Miscellaneous","2,328.00"
,"CIVIL COST","70,000.00"
"4","Contingencies 10%","7,000.00"
,"TOTAL COST","77,000.00"
