"Table 5.7: Estimate for rehabilitation of Heenmukalana lake in Meepanawa GND (529D)","",""
"Item","Work Description","Amount  LKR"
"1",,
"1.1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","384,480.00"
,"SUB TOTAL","384,480.00"
"2",,
"2.1","Clearing the bund including removing of weeds","15,000.00"
"2.2","Earth excavation form, cut & lift up to 1.0m, placing, spreading, watering and compacting by machinery including transport by 0.75cu Tractor & Tailor within 30m - 1.0Km -including Forming and Sloping in Tank Bund","45,933.00"
"2.3","Cutting & planting turf (The rate without transport)","21,480.00"
"2.4","Watering turf (The rate without cost of water and the transport)","330.00"
"2.5","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","220,000.00"
"2.6","Miscellaneous","2,256.00"
,"SUB TOTAL","305,000.00"
"3","Transporting machine","7520.00"
,"CIVIL COST","697,000.00"
"4","Contingencies 10%","69,700.00"
,"TOTAL COST","766,700.00"
