"Table 5.11: Estimate for rehabilitation of Pallekumbura small lake (02) in Morahela GND (527B)","",""
"Item","Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and hauling the surplus materials up to 1.6 km distance by machinery. (This rate excluding of transporting of machinery)","38,448.00"
"2","Miscellaneous","1,552.00"
,"CIVIL COST","40,000.00"
"3","Contingencies 10%","4,000.00"
,"TOTAL COST","44,000.00"
