"Table 2.5: GN-wise demographic details of the MWS-033","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"530A","Wathulanda East","114","130","234","174"
"528D","Meepanawa","166","186","281","291"
"530B","Wathulanda West","154","156","264","256"
"527A","Madulla South","225","307","472","466"
"527B","Morahela","339","373","562","550"
"530","Kurupanawela","226","249","445","388"
"527","Madulla North","294","295","423","480"
"528C","Maliyadda","206","241","383","390"
"527C","Kandeyaya","335","396","594","576"
,"Total","2059","2333","3658","3571"
