"Table 5.10: Estimate for rehabilitation of Peshiya Kumbura Lake in Madulla South GND (527A)","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and hauling the surplus materials up to 1.6 km distance by machinery. (This rate is excluding of transporting of machinery)","384,480"
"2","Rehabilitation of tank bund","10,000"
"3","Miscellaneous","520"
,"CIVIL COST","395,000"
"5","Contingencies 10%","39,500"
,"TOTAL COST","434,500"
