"Table 2.7: Occupational details of the community of MWS-033 (GN-wise)","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7"
,,"Government","Forces","Private Sector","Self-Occupied","Agriculture","Foreign Services","Laborer","Estate worker","Unemployed"
"530A","Wathulanda East","26","14","49","10","80","2","25","2","43"
"528D","Meepanawa","6","13","96","26","98","1","8","5","143"
"530B","Wathulanda West","20","26","125","11","105","4","43","9","65"
"527A","Madulla South","25","37","40","12","270","2","49","0","162"
"527B","Morahela","35","33","68","27","390","3","4","0","221"
"530","Kurupanawela","38","11","71","29","115","3","70","40","133"
"527","Madulla North","29","15","14","20","164","2","0","0","62"
"528C","Maliyadda","13","29","40","25","111","4","33","41","84"
"527C","Kandeyaya","17","43","190","11","548","11","0","0","1006"
,"Total","209","221","693","171","1881","32","232","97","1919"
