"Table 5.6: Estimate for rehabilitation of Wemulla Lake in Meepanawa GND (528D)","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and hauling the surplus materials up to 1.6 km distance by machinery. (This rate is excluding of transporting of machinery)","192,240.00"
"2","Filling potholes & depressions in tank bund","50,000.00"
"3","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","220,000.00"
"4","Planting Bamboo species and Vetiver grass or Riparian species","150,000.00"
"5","Transporting machine","6,636.00"
"6","Miscellaneous","1,124.00"
,"CIVIL COST","620,000.00"
"6","Contingencies 10%","62,000.00"
"7","TOTAL COST","682,000.00"
