"Table 2.3: Monthly average rainfall details of the MWS-033",""
"Month","Monthly Rainfall  mm"
"January","304"
"February","172"
"March","140"
"April","209"
"May","147"
"June","50"
"July","56"
"August","74"
"September","116"
"October","283"
"November","374"
"December","446"
"Annual","2370"
