"Table 2.7: Occupational details of the community of MWS-006-1 (GN-wise)","","","","","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8","NA  9","NA  10","NA  11","NA  12"
,,"Executive/ Manager","Clerk","Industrial","Security Services","Foreign employment","Masonry","Carpenter","Animal Husbandry","Business","Apparel","Labour","Agriculture","Plantations","Others"
"1014","Bawlana","1","5","10","35","20","30","4","35","6","85","18","95","10","25"
"1018","Bopitiya","3","5","2","23","4","2","1","6","12","2","6","220",,
"1008","Damunugolla",,"23","2","5","3","5","6","25","2","10","10","148",,
"1010","Elikewela",,"6","2","14","3","16","5",,"9","12","6","120",,
"1011","Galagoda","4","16","16","16","13","4","4","9","54","12","69","209","21",
"1016","Hewawissa East","18","1","3","10","5","12","3","10","4","12","2","143",,
"1017","Hewawissa West","24","6","8","20","6","8","2","12","6","9","5","35",,
"1013","Kandewela",,"10","2","25","7","4","3","15","8","4","7","85",,
"1012","Kiriwanagoda","9","3","4","12","6","3","2","26","5","12","3","128","2",
"1007","Marassana","2","6","3","5","7","3","2","4","6","18","12","314",,"102"
"1000","Medadeniya",,"9","4","9","7","3","2","16","25","42","3","71","2",
"1009","Meeruppa","2","16","14","21","8","19","16","3","26","36","10","286",,
"1015","Oluwawatta",,,"4","14","7","6","8","11","7","20","45","124",,"25"
"1022","Ududeniya Madige","2","15","3","3","84","6","3","18","40","2","65","8",,
"1023","Ududeniya1",,"1","3","2","7","4","2","10","9","8","21","103",,
,"Total","65","122","80","214","187","125","63","200","219","284","282","2089","35","152"
