"Table 2.5: GN-wise demographic details of the MWS-006-1","","","","",""
"GND.No","GND.Name","No.of.Houses","No.of.Families","Female","Male"
"1014","Bawlana","211","256","420","398"
"1018","Bopitiya","168","177","310","284"
"1008","Damunugolla","134","156","271","289"
"1010","Elikewela","126","166","261","214"
"1011","Galagoda","296","314","569","563"
"1016","Hewawissa East","171","208","328","303"
"1017","Hewawissa West","181","213","313","307"
"1013","Kandewela","151","179","264","271"
"1012","Kiriwanagoda","140","175","286","288"
"1007","Marassana","225","239","448","321"
"1000","Medadeniya","196","213","345","327"
"1009","Meeruppa","326","365","540","515"
"1015","Oluwawatta","165","163","266","271"
"1022","Ududeniya Madige","277","298","709","675"
"1023","Ududeniya1","149","156","248","258"
""," Total","2, 916","3, 278","5, 578","5, 284"
