Activity,Location,Number of Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programs,"Elamulla,",2,"10,000","20,000",2025-2028
,Horagolla,,,,
Establish forest protection action groups,"Elamulla,",1,"10,000","10,000",2025
,Horagolla,,,,
Maintain forest boundaries,Piduruthalagala conservation forest,16.7 Km/ 668 Boundary posts,220,"293,920",2027
Erect display boards,"Elamulla,",2,"20,000","40,000",2025
,Horagolla,,,,
Distribute energy efficient stows,"Elamulla,",60 units,400,"24,000",2025
,Horagolla,,,,
Restoration around cabana’s,Elamulla,4 Units,"12,000","48,000",
Forest restoration,Mandaram Nuwara,8 Ha ,"300,000","250,000",2026
Create forest gardens around Cabana’s,Elamulla,5 units,100000,"500,000",2026- 2030
Fire protection measures ,Themulukanda reservation,1,"100,00","60000,",2025-2030
Total,,,,"1,245,920",
