No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Sum of Costs (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,511 A,Deegalahinna,1. Renovation of natural drains - Torrent 1 (Kandura 1),5,Off,7.061496,80.767824,4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"400,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
2,512 A,Deegalahinna,2. Renovation of natural drains - Kalu Palama Ella,5,Off,7.064181,80.767129,6 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"600,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
3,513 A,Deegalahinna,3. Renovation of natural drains - Waththa Kumbura torrent (Kandura),3,Off,7.063279,80.764963,5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"500,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
4,514 A,Deegalahinna,4. Soil conservation practices - Deegalahinna (60°),1,On,7.059858,80.773891,1.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"300,000.00",,Labour and other basic services by the Local community,0.25 Years
5,515 A,Deegalahinna,5. Soil conservation practices - Kabaragala Waththa (40°),4,On,7.059412,80.757659,20 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000.00",,Labour and other basic services by the Local community,0.5 Years
6,516 A,Deegalahinna,6. Soil conservation practices - Kabaragala Waththa (35°),1,On,7.060884,80.763944,44 ha,"Lock and spills
Live fencing/SALT and stone terracing, as applied",400.00 m-1,"17,600,000.00","24,400,000.00",Labour and other basic services by the Local community,1 Year
7,511 E,Elamulla,1. Renovation of natural drains - Dothuru torrent,4,Off,7.047505,80.773644,7 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"700,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
8,512 E,Elamulla,2. Renovation of natural drains - Torrent flows by the animal farm,5,Off,7.057515,80.768026,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
9,513 E,Elamulla,3. Renovation of natural drains - Torrent flows in the middle of 10 houses,5,Off,7.05738,80.770321,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"250,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
10,514 E,Elamulla,4. Renovation of natural drains - Torrent flows by the animal farm 2,1,Off,7.057738,80.770321,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
11,515 E,Elamulla,5. Renovation of natural drains - Torrent flows by the animal farm,1,Off,7.056947,80.77134,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
12,516 E,Elamulla,6. Renovation of natural drains - Torrent near the estate houses,1,Off,7.056944,80.772166,3.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"350,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
13,517 E,Elamulla,7. Soil conservation practices - Themulu Kanda reservation (70°),1,On,7.048186,80.773215,20 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000.00",,Labour and other basic services by the Local community,0.5 Years
14,518 E,Elamulla,8. Soil conservation practices - Animal farm (50°),5,On,7.052929,80.768342,0.25 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"62,500.00","7,162,500.00",Labour and other basic services by the Local community,0.25 Years
,,,,,,,,,Grand Total,,,"31,562,500.00",,
