Year,Extent (ha) ,Cost (Rs.) ,Community contribution,Project contribution,,,
,RP,DP,RP,DP,Total,,Total
2025,2.5,3,1575000,1500000,3075000,Labour and equipment cost borne by the TSH,3075000
2026,2,3,1260000,1500000,2760000,,2760000
2027,2,3,1260000,1500000,2760000,,2760000
,,,,Total,,,"8,595,000"
