"Table 5.23: Proposed interventions MWS-015","","","","",""
"Activity","Location","Number of Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programmes","Elamulla,
Horagolla","02","35,000","70,000","2025-2028"
"Establish forest protection action groups","Elamulla,
Horagolla","01","35,000","35,000","2025"
"Maintain forest boundaries","Piduruthalagala conservstion forest 
(16.7 Km)","668 Boundary posts","900","601,000","2027"
"Erect display boards","Elamulla,
Horagolla","2","38,500","77,000","2025"
"Distribute energy efficient stows","Elamulla,
Horagolla","60 units","1,100","66,000","2025"
"Forest restoration","Mandaram Nuwara","8 ha","695,268","5,562,144","2026- 2030"
"Create forest gardens around Cabana’s","Elamulla","5 units","100,000","500,000","2026- 2030"
"Fire protection measures","Themulukanda reservation","01","100,00","60,000","2025-2030"
"Total",,,,"6,911,144",
