"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-015","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","511 A","Deegalahinna","1. Soil conservation practices - Deegalahinna (60°)","1","7.059858","80.773891","1.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","300,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Kabaragala Waththa (40°)","4","7.059412","80.757659","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"3. Soil conservation practices - Kabaragala Waththa (35°)","1","7.060884","80.763944","44 ha","Lock and spills and live fencing/SALT and stone terracing, as applied","400 m-1","17,600,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","22,900,000",,,,,,,,,,,
"2","511 E","Elamulla","1. Soil conservation practices - Themulu Kanda reservation (70°)","1","7.048186","80.773215","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices - Animal farm (50°)","5","7.052929","80.768342","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","5,062,500",,,,,,,,,,,
,,,,,,,,"Grand Total",,"27,962,500",,
