"Table 5.11: Potential Tourist Attractions and suggestions for improvement","",""
"GN Division","Potential Tourist Attractions","Suggestion by community"
"Deegalahinna","Kalu Palama Waterfall, Nana Pokuna (0.5 acres), Kabaragala Ella, Ethiniwela Ella, Dahasaye (16) Ella, 14 Ella","Develop ‘Kalu Palama’ waterfall as a tourist destination."
"Elamulla",,
