"Table 6.3: Details of minor tanks available in MWS-021-1","","",""
"Tank name","Ownership","Location details","Remarks"
"Binganthalawa Galpoththa","DAD","7.049501 N, 80.861091 E","Recommended to rebuild the tank"
"Gamsabha Wewa","DAD","7.06808 N, 
80.82943 E","Recommendations to improve"
