"Table 6.31: Causes of forest fires in the MWS-021-1","","","","",""
"Forest reserve","Total Extent","Peripheral length  Km","Gazette  No","Gazette date","Length of boundary demarcated with concrete posts  Km"
"Piduruthalagala
(Conservation forest)","4,200",,"1527","14.12.2007","11.75"
"Mahakudugala Conservation Forest","213.5","11.4","1527/12","01.12.2007","11.4"
