"Table 6.16: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name and location of the spring","Location N","Location E","Observed problems","Description","Amount  Rs"
"504 A","Galpoththa, Bremli Loriston","7.054248","80.864746","Water is currently being used irregularly.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","1,100,000.00"
"504 A","Binganthalawa",,,"Rainwater tanks have been proposed to store water for cultivation during dry seasons","Construction of ferro cement storage tank of 35 cum - size internal 3m dia x4m high","325,000.00"
"504 A","Loriston",,,"Rainwater tanks have been proposed to store water for cultivation during dry seasons","Construction of ferro cement storage tank of 35 cum - size internal 3m dia x4m high","325,000.00"
"504 A","Bremli",,,"Rainwater tanks have been proposed to store water for cultivation during dry seasons","Construction of ferro cement storage tank of 35 cum - size internal 3m dia x4m high","325,000.00"
"504 A","Utkote",,,"Rainwater tanks have been proposed to store water for cultivation during dry seasons","Construction of ferro cement storage tank of 35 cum - size internal 3m dia x4m high","325,000.00"
"504 A","Kahawaththa",,,"Rainwater tanks have been proposed to store water for cultivation during dry seasons","Construction of ferro cement storage tank of 35 cum - size internal 3m dia x4m high","325,000.00"
"504 B","Block No 11 Water Project","7.065479","80.839563","There is a  6.0m x 5.0m x 2.5m water treatment tank and  a 5.0m x 5.0m x 2.0m water storage tank that was built about 10 years ago. Water is taken into the tank from a canal. The water project is operational.","Repairs to the Treatment unit1/2\" thick 1:3 cement mortar plastering to prevent leakages in liningSupplying, joining and laying of PVC pipes for establishing necessary connectionsSupplying of 50mm Dia PVC pipesSupplying of 25mm Dia PVC pipesSupplying of 12.5mm Dia PVC pipesFor Joints, Elbows, Sockets, Valves, Gum, hacksaw blades etc.. (allow 10% from the cost of pipes)Labor (allow 5% from the cost of pipes)Providing a covering net to the Treatment UnitMiscellaneous","875,000.00"
"504 B","Block No 11  Stock Tank","7.067179","80.83955","There is a 3.0m x 2.0m x 2.0m water storage tank that was built about 10 years ago and It needs to be repaired. The pipeline should be constructed from the tank being built near the spring to this tank, The project can be activated by reconstructing the distribution pipeline system. Water can be provided to about 70 families.","Repairs to the Treatment unit1/2\" thick 1:3 cement mortar plastering to prevent leakages in liningSupplying, joining and laying of PVC pipes for establishing necessary connectionsSupplying of 50mm Dia PVC pipesSupplying of 25mm Dia PVC pipesSupplying of 12.5mm Dia PVC pipesFor Joints, Elbows, Sockets, Valves, Gum, hacksaw blades etc.. (allow 10% from the cost of pipes)Labor (allow 5% from the cost of pipes)Providing a covering net to the Treatment UnitMiscellaneous","830,000.00"
"504 B","High forest watta Block","7.065743","80.841516","An area with line houses where about 70 families live.","Drilling of tube well (5m deep) with supplying and fixing of 0.5 HP x 4\" Dia tube well pump including all necessary connections and constructing a protective cell for the pump and mounting the same to good working order","115,000.00"
"504 B","No. 100 Line Houses","7.063783","80.842256","An area with line houses where about 50 families live. Using dirty water from a flowing canal","Drilling of tube well (5m deep) with supplying and fixing of 0.5 HP x 4\" Dia tube well pump including all necessary connections and constructing a protective cell for the pump and mounting the same to good working order","115,000.00"
"504 D","High forest No. 2  Block","7.06804","80.82974","There are 4 springs located next to each other above lake. Small tanks have been built for three springs. About 57 families use water.","Renovating existing tanks","120,000.00"
"533 I","Mahakudugalagama","7.038376","80.831508","Located within the reserve boundaries belonging to the Forest Conservation Department. Currently, about 50 families obtain water informally using pipes. It is appropriate to implement a formal water project with the permission of the Forest Conservation Department.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Supplying, joining & laying of PVC Distribution pipe linesMiscellaneous","800,000.00"
,,,,"Total",,"5,580,000.00"
