"Table 3.7: Occupational details of the community of MWS-021-1 (GN-wise)","","","","","","","","","",""
"GND No","GND Name","Employment","X","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6"
,,"Government","Forces","Private Sector","Self-Occupied","Agriculture","Foreign Services","Laborer","Estate worker","Unemployment"
"504B","High Forest","32","0","211","15","242","23","257","147","508"
"504D","High Forest Estate","24","6","145","4","1204","44","218","444","434"
"504A","Bingan-thalawa","93","6","985","76","461","33","605","396","659"
"533I","Maha-kudugala","24","9","200","28","509","7","48","6","348"
,"Total","173","21","1541","123","2416","107","1128","993","1949"
