"Table 6.37: Estimated cost to be incurred for planting one hectare of tea lands","","","","",""
"Activity","Location","Number and Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programs","Mahakudugalagama,
High forest,
Binganthalawa","6","7,500","45,000","2024 and 2025"
"Establish forest protection action groups (With fire protection items)","Mahakudugalagama,
High forest,
Binganthalawa","3","25,000","75,000","2025"
"Maintain forest boundaries","Piduruthalagala forest","470 Boundary posts/
(11.75 Km)","220","206,800","2025 and 2028"
,"Mahakudugala forest","456 Boundary posts/
 (11.4 Km)","210","191520","2025 and 2028"
"Erect display boards","Mahakudugalagama,
High forest,
Binganthalawa","3 Boards","20,000","60,000","2025"
"Distribute energy-efficient stows","Mahakudugalagama,
High forest,
Binganthalawa","150 units","500","75,000","2025"
"Total Cost",,,,"653,320",
