"Table 3.3: Monthly average rainfall details of the MWS-021-1",""
"Month","Monthly Rainfall  mm"
"January","313"
"February","164"
"March","146"
"April","222"
"May","162"
"June","61"
"July","72"
"August","92"
"September","120"
"October","288"
"November","364"
"December","443"
"Annual","2448"
