No. ,GN Division No.,GN Division,Non-point sources of pollution ,N or X,E or Y,Point sources of pollution ,N or X,E or Y,Recommended water quality improvement measures,Unit Cost (Rs.),Total Cost (Rs.),"Contributions (Local Community, LA, Project)",Time frame for the implementation
1,511 A,Deegalahinna,-,-,-,-,-,-,-,-,-,-,-
2,511 D,Godigamuwa,-,-,-,-,-,-,-,-,-,-,-
3,510,Idampitiya,-,-,-,-,-,-,-,-,-,-,-
4,511 F,Ketahira,-,-,-,-,-,-,-,-,-,-,-
5,511,Manakola,-,-,-,-,-,-,-,-,-,-,-
6,511 B,Marthuwela ,-,-,-,-,-,-,-,-,-,-,-
7,511 C,Rathyaya,-,-,-,-,-,-,-,-,-,-,-
8,510 A,Uda Padiyapelella ,Contamination of water in Beliul oya which is used by a large number of families with domestic waste and wastes from shops - Padiyapelella Town,7.092453,80.797973,-,-,-,"Awareness program on how to disposal household waste properly and converting them to usable products such as compost
Introduce waste collecting methods and converting them into productive output with the mediation of Local Governments.",-,"50,000.00",Local/Central governments ,0.5 Years
9,510 B,Okandagala,-,-,-,-,-,-,-,-,-,-,-
