No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Total Cost (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,511 A,Deegalahinna,1. Renovation of natural drains - Water Torrent 1,5,Off ,7.061496,80.767824,4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"400,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
2,511 A,Deegalahinna,2. Renovation of natural drains - Kalu Palama Ella,5,Off ,7.064181,80.767129,6 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"600,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
3,511 A,Deegalahinna,3. Renovation of natural drains - Watte Kumbura Torrent,3,Off ,7.063279,80.764963,5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"500,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
4,511 A,Deegalahinna,4. Soil conservation practices - Deegalahinna (60°),1,On,7.059858,80.773891,1.25 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"312,500.00",,Labour and other basic services by the Local community,0.25 Years
5,511 A,Deegalahinna,5. Soil conservation practices - Kabaragala Watta (40°),4,On,7.059412,80.757659,20 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000.00",,Labour and other basic services by the Local community,0.25 Years
6,511 A,Deegalahinna,6. Soil conservation practices - Kabaragala Watta (35°),1,On,7.060884,80.763944,44 ha," lock and spills Stone terracing/Live fencing/SALT, as applied",400.00 m-1,"17,600,000.00","24,412,500.00",Labour and other basic services by the Local community,0.5 Years
7,511 D,Godigamuwa,1. Renovation of natural drains - Torrent 1 which the excess water remover in Motamola canal,5,Off ,7.073062,80.769978,250 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"25,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
8,511 D,Godigamuwa,2. Renovation of natural drains - Torrent 2 excess water remover in Motamola canal,4,Off ,7.072752,80.774322,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
9,511 D,Godigamuwa,3. Renovation of natural drains - Torrent 3,3,Off ,7.073068,80.77422,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
10,511 D,Godigamuwa,4. Renovation of natural drains - Torrent near School,4,Off ,7.076159,80.783047,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
11,511 D,Godigamuwa,5. Soil conservation practices - Wilkada Arana (75°),5,On,7.073575,80.771477,25 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"6,250,000.00",,Labour and other basic services by the Local community,1 Year
12,511 D,Godigamuwa,6. Soil conservation practices - Gallela Watta (60°),5,On,7.073431,80.770807,50 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"12,500,000.00",,Labour and other basic services by the Local community,1.5 Years
13,511 D,Godigamuwa,7. Soil conservation practices - Gallela Watta (45°),5,On,7.071565,80.770534,14 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"3,500,000.00",,Labour and other basic services by the Local community,0.5 Years
14,511 D,Godigamuwa,8. Soil conservation practices - Gallela Watta (40°),4,On,7.072465,80.775076,0.25 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"62,500.00",,Labour and other basic services by the Local community,0.25 Years
15,511 D,Godigamuwa,9. Soil conservation practices - Gallela Watta (50°),3,On,7.0731,80.774222,0.5 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
16,511 D,Godigamuwa,10. Establishing a side wall - Both sides of the Manakola Godigamuwa road,5,On,-,-,3.6 m x 0.5 m x 7.6,Retaining wall,"2,000.00 m-3","27,360.00","22,889,860.00",Labour and other basic services by the Local community,0.25 Years
17,510,Idampitiya,1. Renovation of natural drains - Hapugahatenna Torrent,1,Off ,7.086119,80.791979,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
18,510,Idampitiya,2. Renovation of natural drains - Kammal Watta Torrent,3,Off ,7.085366,80.792775,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
19,510,Idampitiya,3. Renovation of natural drains - Torrent 1,4,Off ,7.08432,80.792945,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
20,510,Idampitiya,4. Renovation of natural drains - Balumgoda Torrent,4,Off ,7.08064,80.790254,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
21,510,Idampitiya,5. Renovation of natural drains - Ukgahabokka Torrent (Rathhinda),5,Off ,7.078874,80.785502,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
22,510,Idampitiya,6. Soil conservation practices - Okadagala Reservation (70°),5,On,7.086522,80.792119,0.5 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
23,510,Idampitiya,7. Soil conservation practices - Idampitiya (60°),5,On,7.087501,80.792996,0.25 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"62,500.00",,Labour and other basic services by the Local community,0.25 Years
24,510,Idampitiya,8. Soil conservation practices - Hapugahatanna (55°),1,On,7.088222,80.793473,14 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"3,500,000.00",,Labour and other basic services by the Local community,1 Year
25,510,Idampitiya,9. Soil conservation practices - Idampitiya (65°),1,On,7.08535,80.79122,0.5 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"125,000.00","4,412,500.00",Labour and other basic services by the Local community,0.25 Years
26,511 F,Ketahira,1. Renovation of natural drains - Waterfall near Kalu Palama (Deegal Oya),5,Off,7.064643,80.76484,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
27,511 F,Ketahira,2. Renovation of natural drains - Torrent seperates Katahira Udagabbala gama,5,Off,7.063622,80.768952,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
28,511 F,Ketahira,3. Soil conservation practices - Udagabbala (60°),1,On,7.065857,80.764833,30 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"7,500,000.00",,Labour and other basic services by the Local community,1.5 Years
29,511 F,Ketahira,4. Soil conservation practices - Udagabbala (50°),5,On,7.067265,80.766594,19.6 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"4,900,000.00",,Labour and other basic services by the Local community,1.5 Years
30,511 F,Ketahira,5. Soil conservation practices - Makudugala reservation (70°),5,On,7.065861,80.767755,10 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"2,500,000.00",,Labour and other basic services by the Local community,0.5 Years
31,511 F,Ketahira,6. Soil conservation practices - Ketahira (40°),5,On,7.066036,80.766947,8 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,0.5 Years
32,511 F,Ketahira,7. Soil conservation practices - Ketahira (70°),5,On,7.063564,80.768764,0.25 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"62,500.00",,Labour and other basic services by the Local community,0.25 Years
33,511 F,Ketahira,8. Soil conservation practices - Ketahira (40°),5,On,7.063256,80.769691,0.25 ha,"Live fencing/SALT Stone terracing/lock and spills, as applied",250.00 m-1,"62,500.00",,Labour and other basic services by the Local community,0.25 Years
