No,Tank name,Ownership,N,E,Remarks
1,Udamaluwa Wewa,ID,7.17886,80.77713,In good condition and no improvement is required.
2,Elamullawa Wewa,DAD,7.17085,80.78449,Desilting and tree planting required
3,Walugama Wewa,ID,7.15506,80.78549,Desilting and tree planting required
4,Badaladeniya Wewa,DAD,7.15944,80.79406,Tree planting in forest land
5,Katukenda Gommana Wewa (New tank),DAD,7.16685,80.76523,Raising the well in the tank
6,Nikaththala Wewa,DAD,7.16968,80.75897,Rehabilitation of the tank
7,Narankandura Mahapitiya Wewa,DAD,7.17047,80.75355,Construct a new tank
8,Narankandura Wewa,DAD,7.17126,80.75017,Rehabilitation of the tank
9,Kingsway Watta Wewa,DAD,7.17589,80.75381,Rehabilitation of the tank
10,Rikillagaskada Wewa,DAD,7.14371,80.78445,Rehabilitation of the tank
