Activity,Location,Number and Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programs,"Kottala, Rathmatiya, Hapugasdeniya, Madanwala, Mihirampe, Dodamkumbura ",12,"7,500","90,000",2025 and 2026
Establish forest protection action groups (With fire protection items),"Kottala, Rathmatiya, Hapugasdeniya, Madanwala, Mihirampe, Dodamkumbura",6,"25,000","150,000",2025
Maintain forest boundaries,Mihirampe 11 forest,1 km / 53 Boundary posts,185,"19,610",2025 and 2028
,Rathmatiya forest,4.1 Km/ 195 Boundary posts,195,76050,2025 and 2028
Erect display boards,"Kottala, Rathmatiya, Hapugasdeniya, Madanwala, Mihirampe, Dodamkumbura",6 Boards,"20,000","120,000",2025
Distribute energy efficient stows,"Kottala, Rathmatiya, Hapugasdeniya, Madanwala, Mihirampe, Dodamkumbura",150 units,500,"75,000",2025
Conversion of pine into broad leaves species,Hanguranketha 7-3 Sub block ,8 ha,"200,000","1,600,000",2026
Maintenance of converted plantations into broad leaved species,Hanguranketha 7-3 Sub block,8ha,"200,000","1,600,000",2027-2030
Introduce high yielding grass species into private lands,"Kottala, Rathmatiya, Hapugasdeniya, Madanwala, Mihirampe, Dodamkumbura",50 private lands,4000,"200,000",2026
Forest restoration,Mihirampe forest,9 ha,"300,000","2,700,000",2007-2031
Home garden development,"Rathmatiya, Hapugasdeniya, Madanwala, Mihirampe, Dodamkumbura",80 Home gardens,2000,"160,000",2026
Total,,,,"6,790,660",
