"Table 2.6: Age group categorization of the population of MWS-012 (GN-wise)","","","","","","","","","","","","","",""
"GND No","GND Name","X0 4","X5 9","X10 14","X15 19","X20 24","X25 29","X30 34","X35 39","X40 44","X45 49","X50 54","X55 59","Above 60 years"
"496A","Ambaliyadda1","48","58","57","67","78","67","54","57","50","62","65","64","143"
"496B","Arattana","44","70","62","76","70","63","55","42","63","63","56","50","157"
"496C","Dampola","58","60","54","59","58","59","53","71","70","86","68","64","82"
"494","Damunumeya","36","36","38","48","33","34","38","43","57","49","38","33","118"
"494E","Damunumeya North","39","56","43","37","48","48","44","56","45","47","34","47","110"
"495D","Delgahapitiya","23","48","66","62","64","70","55","66","54","50","48","55","127"
"494D","Deliwala","41","59","51","61","56","60","47","46","53","70","51","48","115"
"492","Diya - Udagama","25","71","59","65","42","92","75","75","72","52","70","45","166"
"492B","Dodamkumbura","27","132","185","227","110","137","92","103","104","141","169","184","252"
"494A","Dolugala","60","65","56","56","54","97","74","54","49","47","62","72","122"
"495","Hanguranketha","47","47","43","48","62","66","72","66","54","59","67","49","158"
"496","Hapuwala","68","76","76","60","60","83","84","59","59","60","59","53","168"
"493A","Kottala","28","43","43","57","56","75","68","54","54","59","53","66","176"
"493","Madanwala","28","33","33","39","39","39","58","55","50","45","28","34","180"
"495C","Pallemaluwa","26","24","28","27","32","41","29","31","39","33","31","39","87"
"495A","Pussalamankada","46","62","66","64","49","58","61","77","75","58","57","49","211"
"494C","Rathmetiya","30","58","66","75","80","76","82","80","88","100","70","80","150"
"497A","Rekitipe","64","89","92","79","70","72","77","90","99","86","79","71","228"
"492A","Rikillagaskada","86","95","126","134","189","217","154","158","247","169","132","96","254"
"492C","Walalawela","35","43","36","40","33","36","32","36","44","36","25","25","94"
"495B","Yati Hanguranketha","58","61","61","62","81","61","71","62","61","72","61","58","172"
,"Total","917","1286","1341","1443","1364","1551","1375","1381","1487","1444","1323","1282","3270"
